Date,Store,Product,Category,Quantity,UnitPrice,CostPerUnit,TotalSales,Profit
2024-01-26,Newcastle,iPad 10,Tablets,4,541.8,328.7,2167.2,852.4
2024-01-27,Liverpool,iPad 10,Tablets,5,1044.81,620.92,5224.05,2119.45
2024-01-28,Birmingham,Samsung A54,Smartphones,1,116.04,68.33,116.04,47.71
2024-01-29,Liverpool,Dell XPS 13,Laptops,1,239.17,203.11,239.17,36.06
2024-01-30,London,iPhone 15,Smartphones,2,628.33,321.43,1256.66,613.8
2024-01-31,Newcastle,Samsung S22,Smartphones,2,805.78,529.18,1611.56,553.2
2024-02-01,Leeds,Logitech Mouse,Accessories,3,378.4,295.57,1135.2,248.49
2024-02-02,London,Samsung Buds,Accessories,3,1228.32,957.38,3684.96,812.82
2024-02-03,Birmingham,Logitech Mouse,Accessories,5,1290.37,792.4,6451.85,2489.85
2024-02-04,Birmingham,iPad Pro,Tablets,3,1218.06,757.67,3654.18,1381.17
2024-02-05,London,iPhone 14,Smartphones,2,1259.81,927.84,2519.62,663.94
2024-02-06,Manchester,iPhone 15,Smartphones,2,401.75,293.68,803.5,216.14
2024-02-07,Newcastle,Samsung A54,Smartphones,4,406.03,344.59,1624.12,245.76
2024-02-08,London,USB-C Cable,Accessories,5,1326.3,750.75,6631.5,2877.75
2024-02-09,London,Samsung Tab S9,Tablets,3,1287.36,825.94,3862.08,1384.26
2024-02-10,Birmingham,Logitech Mouse,Accessories,1,259.21,211.12,259.21,48.09
2024-02-11,Newcastle,iPad 10,Tablets,3,1461.02,875.69,4383.06,1755.99
2024-02-12,London,MacBook Pro M2,Laptops,3,984.9,569.76,2954.7,1245.42
2024-02-13,Liverpool,AirPods Pro,Accessories,5,284.66,178.84,1423.3,529.1
2024-02-14,Newcastle,iPhone 14,Smartphones,4,773.04,558.69,3092.16,857.4
2024-02-15,London,Nintendo JoyCon,Gaming,3,662.9,412.67,1988.7,750.69
2024-02-16,Birmingham,AirPods Pro,Accessories,5,360.67,243.35,1803.35,586.6
2024-02-17,Newcastle,iPad 10,Tablets,1,1491.93,991.36,1491.93,500.57
2024-02-18,London,Nintendo JoyCon,Gaming,4,42.88,35.37,171.52,30.04
2024-02-19,Leeds,Nintendo JoyCon,Gaming,4,1282.45,773.39,5129.8,2036.24
2024-02-20,Manchester,Samsung S22,Smartphones,2,844.07,698.6,1688.14,290.94
2024-02-21,Manchester,iPad Pro,Tablets,2,396.16,239.02,792.32,314.28
2024-02-22,Leeds,iPhone 14,Smartphones,1,1059.68,663.17,1059.68,396.51
2024-02-23,Birmingham,MacBook Pro M2,Laptops,3,399.19,285.03,1197.57,342.48
2024-02-24,Newcastle,MacBook Air M1,Laptops,4,1201.48,874.06,4805.92,1309.68
2024-02-25,Newcastle,Logitech Mouse,Accessories,4,876.72,572.91,3506.88,1215.24
2024-02-26,Manchester,iPad 10,Tablets,2,823.11,494.1,1646.22,658.02
2024-02-27,Liverpool,MacBook Air M1,Laptops,4,77.48,46.96,309.92,122.08
2024-02-28,Birmingham,USB-C Cable,Accessories,1,1245.25,740.97,1245.25,504.28
2024-02-29,Liverpool,Gaming Headset,Gaming,5,307.68,198.14,1538.4,547.7
2024-03-01,London,USB-C Cable,Accessories,2,784.12,480.69,1568.24,606.86
2024-03-02,Leeds,Amazon Fire HD,Tablets,2,136.12,69.27,272.24,133.7
2024-03-03,Manchester,Samsung A54,Smartphones,5,106.13,87.06,530.65,95.35
2024-03-04,Leeds,Xiaomi Mi 12,Smartphones,5,964.64,656.77,4823.2,1539.35
2024-03-05,Newcastle,Nintendo JoyCon,Gaming,4,857.74,476.5,3430.96,1524.96
2024-03-06,Newcastle,Xiaomi Mi 12,Smartphones,4,88.08,45.3,352.32,171.12
2024-03-07,Leeds,USB-C Cable,Accessories,4,45.4,34.83,181.6,42.28
2024-03-08,Leeds,AirPods Pro,Accessories,5,609.79,436.33,3048.95,867.3
2024-03-09,Manchester,Samsung Buds,Accessories,4,574.43,413.04,2297.72,645.56
2024-03-10,Manchester,Xiaomi Mi 12,Smartphones,5,261.14,137.02,1305.7,620.6
2024-03-11,Liverpool,Samsung A54,Smartphones,3,1205.4,888.39,3616.2,951.03
2024-03-12,Birmingham,AirPods Pro,Accessories,1,1220.58,960.87,1220.58,259.71
2024-03-13,Leeds,iPad 10,Tablets,1,984.2,563.3,984.2,420.9
2024-03-14,London,Gaming Headset,Gaming,2,77.67,55.64,155.34,44.06
2024-03-15,Liverpool,Lenovo ThinkPad,Laptops,2,1028.79,637.05,2057.58,783.48
2024-03-16,Leeds,Samsung A54,Smartphones,2,1051.17,756.98,2102.34,588.38
2024-03-17,Leeds,AirPods Pro,Accessories,5,1452.02,1004.49,7260.1,2237.65
2024-03-18,London,Samsung S22,Smartphones,1,1102.84,600.71,1102.84,502.13
2024-03-19,Liverpool,Gaming Headset,Gaming,1,1026.17,778.83,1026.17,247.34
2024-03-20,Newcastle,iPhone 14,Smartphones,1,767.77,605.97,767.77,161.8
2024-03-21,London,Nintendo JoyCon,Gaming,3,596.02,300.27,1788.06,887.25
2024-03-22,Birmingham,Amazon Fire HD,Tablets,1,492.58,410.08,492.58,82.5
2024-03-23,Birmingham,iPad Pro,Tablets,5,155.72,110.69,778.6,225.15
2024-03-24,Leeds,Lenovo Tab M10,Tablets,4,1420.37,1098.59,5681.48,1287.12
2024-03-25,Leeds,Xbox Controller,Gaming,2,105.19,72.83,210.38,64.72
2024-03-26,London,Lenovo Tab M10,Tablets,3,1064.63,893.25,3193.89,514.14
2024-03-27,Newcastle,MacBook Pro M2,Laptops,4,1302.97,1033.87,5211.88,1076.4
2024-03-28,Leeds,Xbox Controller,Gaming,1,1236.35,923.78,1236.35,312.57
2024-03-29,Newcastle,Steam Gift Card,Gaming,3,880.33,706.11,2640.99,522.66
2024-03-30,Birmingham,AirPods Pro,Accessories,1,896.0,557.83,896.0,338.17
2024-03-31,Manchester,Lenovo Tab M10,Tablets,4,846.44,548.9,3385.76,1190.16
2024-04-01,Manchester,Samsung Tab S9,Tablets,5,36.8,24.44,184.0,61.8
2024-04-02,Liverpool,Anker Charger,Accessories,5,1237.73,941.26,6188.65,1482.35
2024-04-03,London,Gaming Headset,Gaming,1,574.81,344.89,574.81,229.92
2024-04-04,Leeds,Xbox Controller,Gaming,4,1467.29,1019.18,5869.16,1792.44
2024-04-05,Birmingham,Nintendo JoyCon,Gaming,4,129.22,89.66,516.88,158.24
2024-04-06,London,iPhone 15,Smartphones,1,340.88,205.58,340.88,135.3
2024-04-07,Newcastle,Nintendo JoyCon,Gaming,1,1374.58,1148.52,1374.58,226.06
2024-04-08,Manchester,Anker Charger,Accessories,5,430.52,243.61,2152.6,934.55
2024-04-09,Birmingham,HP Pavilion,Laptops,2,413.59,258.96,827.18,309.26
2024-04-10,Birmingham,iPad 10,Tablets,1,478.1,375.23,478.1,102.87
2024-04-11,Leeds,Steam Gift Card,Gaming,3,1237.36,1030.02,3712.08,622.02
2024-04-12,Leeds,iPhone 15,Smartphones,2,1400.44,1124.72,2800.88,551.44
2024-04-13,Liverpool,PS5 Controller,Gaming,1,730.95,617.54,730.95,113.41
2024-04-14,Leeds,Xbox Controller,Gaming,1,1455.47,1156.72,1455.47,298.75
2024-04-15,Newcastle,iPhone 15,Smartphones,1,633.93,377.63,633.93,256.3
2024-04-16,Leeds,AirPods Pro,Accessories,5,1499.58,1272.88,7497.9,1133.5
2024-04-17,Leeds,Steam Gift Card,Gaming,5,1140.48,721.07,5702.4,2097.05
2024-04-18,London,iPhone 14,Smartphones,3,426.6,244.24,1279.8,547.08
2024-04-19,Manchester,iPhone 15,Smartphones,4,417.64,212.06,1670.56,822.32
2024-04-20,Birmingham,Dell XPS 13,Laptops,3,475.51,373.62,1426.53,305.67
2024-04-21,Leeds,Nintendo JoyCon,Gaming,1,893.13,596.63,893.13,296.5
2024-04-22,Birmingham,Xbox Controller,Gaming,3,335.19,183.59,1005.57,454.8
2024-04-23,Liverpool,MacBook Pro M2,Laptops,2,962.23,667.97,1924.46,588.52
2024-04-24,Birmingham,HP Pavilion,Laptops,1,780.7,604.48,780.7,176.22
2024-04-25,London,Dell XPS 13,Laptops,1,1425.29,786.01,1425.29,639.28
2024-04-26,Newcastle,MacBook Air M1,Laptops,4,118.03,60.91,472.12,228.48
2024-04-27,Liverpool,Xbox Controller,Gaming,5,329.51,231.61,1647.55,489.5
2024-04-28,Birmingham,iPad 10,Tablets,3,225.46,163.3,676.38,186.48
2024-04-29,Leeds,Samsung S22,Smartphones,3,782.55,657.8,2347.65,374.25
2024-04-30,Manchester,Dell XPS 13,Laptops,3,1236.25,767.44,3708.75,1406.43
2024-05-01,Newcastle,Steam Gift Card,Gaming,1,810.95,506.52,810.95,304.43
2024-05-02,London,MacBook Air M1,Laptops,2,1041.78,535.22,2083.56,1013.12
2024-05-03,London,Samsung S22,Smartphones,5,23.84,19.17,119.2,23.35
2024-05-04,Newcastle,Lenovo Tab M10,Tablets,4,329.84,207.69,1319.36,488.6
2024-05-05,Liverpool,HP Pavilion,Laptops,2,1126.26,577.59,2252.52,1097.34
2024-05-06,Liverpool,Samsung Tab S9,Tablets,4,178.61,117.27,714.44,245.36
2024-05-07,London,iPad 10,Tablets,5,289.78,202.09,1448.9,438.45
2024-05-08,Birmingham,HP Pavilion,Laptops,1,1337.98,946.97,1337.98,391.01
2024-05-09,Newcastle,Dell XPS 13,Laptops,1,757.69,401.9,757.69,355.79
2024-05-10,Newcastle,MacBook Air M1,Laptops,4,208.82,125.15,835.28,334.68
2024-05-11,Newcastle,Samsung Buds,Accessories,2,381.64,257.37,763.28,248.54
2024-05-12,Newcastle,PS5 Controller,Gaming,1,31.15,18.03,31.15,13.12
2024-05-13,Leeds,Logitech Mouse,Accessories,1,138.75,94.85,138.75,43.9
2024-05-14,Newcastle,Samsung Buds,Accessories,4,1454.82,1168.11,5819.28,1146.84
2024-05-15,Manchester,Samsung S22,Smartphones,1,1083.32,744.53,1083.32,338.79
2024-05-16,Birmingham,Lenovo Tab M10,Tablets,4,323.51,271.36,1294.04,208.6
2024-05-17,London,Amazon Fire HD,Tablets,1,1109.65,760.6,1109.65,349.05
2024-05-18,Liverpool,Lenovo ThinkPad,Laptops,3,1399.38,856.74,4198.14,1627.92
2024-05-19,Manchester,iPhone 15,Smartphones,2,831.93,575.8,1663.86,512.26
2024-05-20,London,Xbox Controller,Gaming,4,396.87,293.1,1587.48,415.08
2024-05-21,Newcastle,Samsung S22,Smartphones,3,536.33,442.65,1608.99,281.04
2024-05-22,London,Anker Charger,Accessories,2,203.96,154.15,407.92,99.62
2024-05-23,Newcastle,HP Pavilion,Laptops,3,118.41,89.92,355.23,85.47
2024-05-24,Newcastle,USB-C Cable,Accessories,3,1197.0,682.97,3591.0,1542.09
2024-05-25,Manchester,Lenovo Tab M10,Tablets,5,1225.57,898.12,6127.85,1637.25
2024-05-26,Newcastle,AirPods Pro,Accessories,5,890.69,658.26,4453.45,1162.15
2024-05-27,London,Lenovo Tab M10,Tablets,1,1126.46,761.43,1126.46,365.03
2024-05-28,Liverpool,iPhone 14,Smartphones,2,824.46,673.8,1648.92,301.32
2024-05-29,Leeds,Samsung Tab S9,Tablets,3,515.66,282.97,1546.98,698.07
2024-05-30,London,Samsung A54,Smartphones,3,1187.12,656.58,3561.36,1591.62
2024-05-31,Newcastle,Steam Gift Card,Gaming,3,1121.04,573.68,3363.12,1642.08
2024-06-01,Newcastle,MacBook Pro M2,Laptops,5,1317.61,816.56,6588.05,2505.25
2024-06-02,Leeds,Gaming Headset,Gaming,5,208.68,133.36,1043.4,376.6
2024-06-03,Liverpool,Steam Gift Card,Gaming,4,1088.93,818.89,4355.72,1080.16
2024-06-04,Birmingham,Amazon Fire HD,Tablets,4,1079.95,766.4,4319.8,1254.2
2024-06-05,Leeds,iPad Pro,Tablets,2,1421.98,787.31,2843.96,1269.34
2024-06-06,Birmingham,MacBook Air M1,Laptops,1,46.8,37.69,46.8,9.11
2024-06-07,Manchester,Anker Charger,Accessories,4,1189.33,604.25,4757.32,2340.32
2024-06-08,Newcastle,Samsung A54,Smartphones,2,122.0,64.3,244.0,115.4
2024-06-09,Newcastle,Samsung S22,Smartphones,1,187.59,158.46,187.59,29.13
2024-06-10,Leeds,AirPods Pro,Accessories,1,1307.45,891.15,1307.45,416.3
2024-06-11,Manchester,Xiaomi Mi 12,Smartphones,1,324.26,251.54,324.26,72.72
2024-06-12,Manchester,Samsung S22,Smartphones,4,815.35,670.18,3261.4,580.68
2024-06-13,Liverpool,Dell XPS 13,Laptops,2,1379.31,973.07,2758.62,812.48
2024-06-14,Birmingham,Logitech Mouse,Accessories,3,387.38,272.01,1162.14,346.11
2024-06-15,Manchester,PS5 Controller,Gaming,1,1175.13,701.74,1175.13,473.39
2024-06-16,London,Samsung Buds,Accessories,5,782.46,658.39,3912.3,620.35
2024-06-17,London,Samsung A54,Smartphones,4,811.9,458.37,3247.6,1414.12
2024-06-18,Newcastle,Nintendo JoyCon,Gaming,3,1203.68,749.03,3611.04,1363.95
2024-06-19,Liverpool,PS5 Controller,Gaming,5,579.03,459.05,2895.15,599.9
2024-06-20,Birmingham,MacBook Air M1,Laptops,3,690.87,472.23,2072.61,655.92
2024-06-21,Leeds,iPhone 15,Smartphones,3,249.76,140.78,749.28,326.94
2024-06-22,London,iPad Pro,Tablets,2,1348.2,922.58,2696.4,851.24
2024-06-23,Liverpool,Samsung Buds,Accessories,5,623.82,432.37,3119.1,957.25
2024-06-24,London,Lenovo Tab M10,Tablets,1,1203.88,677.17,1203.88,526.71
2024-06-25,Newcastle,Samsung Buds,Accessories,3,379.89,285.98,1139.67,281.73
2024-06-26,Manchester,Amazon Fire HD,Tablets,4,1008.77,576.76,4035.08,1728.04
2024-06-27,Birmingham,MacBook Air M1,Laptops,5,59.27,33.4,296.35,129.35
2024-06-28,Birmingham,Gaming Headset,Gaming,2,1341.15,1054.29,2682.3,573.72
2024-06-29,Birmingham,iPad Pro,Tablets,2,557.33,285.34,1114.66,543.98
2024-06-30,Birmingham,Steam Gift Card,Gaming,1,665.47,401.32,665.47,264.15
2024-07-01,Newcastle,HP Pavilion,Laptops,1,1305.33,875.36,1305.33,429.97
2024-07-02,Manchester,iPhone 15,Smartphones,3,778.44,591.3,2335.32,561.42
2024-07-03,Birmingham,PS5 Controller,Gaming,1,226.25,179.24,226.25,47.01
2024-07-04,Liverpool,MacBook Pro M2,Laptops,5,274.09,163.17,1370.45,554.6
2024-07-05,London,Lenovo ThinkPad,Laptops,2,873.24,520.38,1746.48,705.72
2024-07-06,Newcastle,PS5 Controller,Gaming,2,1085.9,583.46,2171.8,1004.88
2024-07-07,Manchester,Nintendo JoyCon,Gaming,1,414.42,313.41,414.42,101.01
2024-07-08,London,USB-C Cable,Accessories,1,751.53,526.56,751.53,224.97
2024-07-09,Manchester,Lenovo ThinkPad,Laptops,4,1160.95,751.96,4643.8,1635.96
2024-07-10,Manchester,Logitech Mouse,Accessories,1,142.54,101.36,142.54,41.18
2024-07-11,London,Steam Gift Card,Gaming,3,447.27,279.31,1341.81,503.88
2024-07-12,Newcastle,Samsung Tab S9,Tablets,2,607.04,506.23,1214.08,201.62
2024-07-13,Liverpool,PS5 Controller,Gaming,2,66.15,39.15,132.3,54.0
2024-07-14,Manchester,Logitech Mouse,Accessories,1,754.62,534.95,754.62,219.67
2024-07-15,London,iPhone 15,Smartphones,2,177.77,93.56,355.54,168.42
2024-07-16,Liverpool,iPhone 14,Smartphones,5,1038.84,677.52,5194.2,1806.6
2024-07-17,Newcastle,iPad Pro,Tablets,5,23.46,19.68,117.3,18.9
2024-07-18,London,HP Pavilion,Laptops,3,485.6,380.03,1456.8,316.71
2024-07-19,Birmingham,PS5 Controller,Gaming,2,1042.03,711.14,2084.06,661.78
2024-07-20,Newcastle,Lenovo Tab M10,Tablets,1,995.0,738.59,995.0,256.41
2024-07-21,London,iPhone 15,Smartphones,1,977.06,725.58,977.06,251.48
2024-07-22,Manchester,Xbox Controller,Gaming,2,890.63,756.83,1781.26,267.6
2024-07-23,Manchester,Xbox Controller,Gaming,5,1101.92,625.24,5509.6,2383.4
2024-07-24,Liverpool,Lenovo Tab M10,Tablets,2,1122.7,582.92,2245.4,1079.56
2024-07-25,Liverpool,Dell XPS 13,Laptops,2,973.93,708.59,1947.86,530.68
2024-07-26,Manchester,Anker Charger,Accessories,5,133.89,99.57,669.45,171.6
2024-07-27,Manchester,AirPods Pro,Accessories,4,1190.27,727.93,4761.08,1849.36
2024-07-28,Liverpool,Xiaomi Mi 12,Smartphones,2,1317.46,851.25,2634.92,932.42
2024-07-29,Liverpool,MacBook Pro M2,Laptops,3,1314.56,900.64,3943.68,1241.76
2024-07-30,Leeds,Amazon Fire HD,Tablets,5,1155.44,740.26,5777.2,2075.9
2024-07-31,London,AirPods Pro,Accessories,4,1476.44,1135.23,5905.76,1364.84
2024-08-01,Newcastle,USB-C Cable,Accessories,1,373.39,201.13,373.39,172.26
2024-08-02,London,HP Pavilion,Laptops,2,365.74,188.26,731.48,354.96
2024-08-03,Liverpool,PS5 Controller,Gaming,1,599.61,325.92,599.61,273.69
2024-08-04,Newcastle,Lenovo ThinkPad,Laptops,5,403.29,284.72,2016.45,592.85
2024-08-05,Liverpool,Lenovo Tab M10,Tablets,2,267.21,226.3,534.42,81.82
2024-08-06,Liverpool,USB-C Cable,Accessories,5,1249.35,677.3,6246.75,2860.25
2024-08-07,Newcastle,MacBook Air M1,Laptops,2,74.36,62.09,148.72,24.54
2024-08-08,London,Steam Gift Card,Gaming,1,787.03,558.04,787.03,228.99
2024-08-09,London,Nintendo JoyCon,Gaming,2,782.57,525.82,1565.14,513.5
2024-08-10,London,Samsung Tab S9,Tablets,5,351.25,241.64,1756.25,548.05
2024-08-11,Liverpool,USB-C Cable,Accessories,2,697.0,443.93,1394.0,506.14
2024-08-12,Manchester,USB-C Cable,Accessories,1,85.68,68.4,85.68,17.28
2024-08-13,Birmingham,iPhone 14,Smartphones,5,1108.11,663.19,5540.55,2224.6
2024-08-14,Leeds,Lenovo Tab M10,Tablets,2,808.25,676.3,1616.5,263.9
2024-08-15,Newcastle,USB-C Cable,Accessories,5,1279.79,861.68,6398.95,2090.55
2024-08-16,Liverpool,Nintendo JoyCon,Gaming,2,865.55,633.36,1731.1,464.38
2024-08-17,Birmingham,Steam Gift Card,Gaming,1,1320.37,1028.7,1320.37,291.67
2024-08-18,Leeds,Samsung S22,Smartphones,3,257.39,158.78,772.17,295.83
2024-08-19,Birmingham,Xiaomi Mi 12,Smartphones,2,176.63,131.53,353.26,90.2
2024-08-20,Manchester,Nintendo JoyCon,Gaming,5,1310.33,668.58,6551.65,3208.75
2024-08-21,Birmingham,Dell XPS 13,Laptops,5,1120.39,623.23,5601.95,2485.8
2024-08-22,Leeds,Lenovo ThinkPad,Laptops,5,402.86,228.66,2014.3,871.0
2024-08-23,Birmingham,iPad 10,Tablets,1,955.08,564.39,955.08,390.69
2024-08-24,Manchester,Nintendo JoyCon,Gaming,3,1146.32,790.32,3438.96,1068.0
2024-08-25,Birmingham,Anker Charger,Accessories,5,171.71,142.18,858.55,147.65
2024-08-26,London,HP Pavilion,Laptops,3,266.24,204.96,798.72,183.84
2024-08-27,Newcastle,MacBook Air M1,Laptops,2,130.55,104.22,261.1,52.66
2024-08-28,Birmingham,Gaming Headset,Gaming,4,978.41,692.75,3913.64,1142.64
2024-08-29,Liverpool,Nintendo JoyCon,Gaming,1,498.94,334.8,498.94,164.14
2024-08-30,Birmingham,iPad Pro,Tablets,2,255.23,169.47,510.46,171.52
2024-08-31,Leeds,Samsung S22,Smartphones,5,1284.23,879.0,6421.15,2026.15
2024-09-01,Birmingham,Nintendo JoyCon,Gaming,4,1263.12,973.22,5052.48,1159.6
2024-09-02,Birmingham,Samsung Tab S9,Tablets,3,1427.28,789.1,4281.84,1914.54
2024-09-03,London,Steam Gift Card,Gaming,5,965.02,616.8,4825.1,1741.1
2024-09-04,Manchester,Nintendo JoyCon,Gaming,3,625.81,508.74,1877.43,351.21
2024-09-05,Birmingham,Nintendo JoyCon,Gaming,1,984.47,619.22,984.47,365.25
2024-09-06,Liverpool,Amazon Fire HD,Tablets,1,1305.56,1007.64,1305.56,297.92
2024-09-07,Birmingham,HP Pavilion,Laptops,3,1199.26,723.1,3597.78,1428.48
2024-09-08,Newcastle,Dell XPS 13,Laptops,4,1198.88,801.49,4795.52,1589.56
2024-09-09,London,Samsung A54,Smartphones,4,656.85,374.53,2627.4,1129.28
2024-09-10,Leeds,USB-C Cable,Accessories,5,893.59,582.3,4467.95,1556.45
2024-09-11,Newcastle,Xiaomi Mi 12,Smartphones,2,1027.08,655.73,2054.16,742.7
2024-09-12,Liverpool,Lenovo Tab M10,Tablets,1,1292.98,999.41,1292.98,293.57
2024-09-13,Newcastle,iPad 10,Tablets,1,172.13,120.46,172.13,51.67
2024-09-14,Birmingham,Anker Charger,Accessories,1,848.28,427.04,848.28,421.24
2024-09-15,London,iPhone 15,Smartphones,1,150.04,93.43,150.04,56.61
2024-09-16,Manchester,Gaming Headset,Gaming,2,607.45,331.94,1214.9,551.02
2024-09-17,Liverpool,MacBook Pro M2,Laptops,2,80.95,59.47,161.9,42.96
2024-09-18,London,Nintendo JoyCon,Gaming,3,66.75,55.25,200.25,34.5
2024-09-19,Liverpool,HP Pavilion,Laptops,2,945.45,731.97,1890.9,426.96
2024-09-20,Liverpool,Amazon Fire HD,Tablets,4,904.26,700.21,3617.04,816.2
2024-09-21,Birmingham,Samsung A54,Smartphones,2,669.14,504.32,1338.28,329.64
2024-09-22,Newcastle,USB-C Cable,Accessories,1,1310.24,755.65,1310.24,554.59
2024-09-23,Liverpool,USB-C Cable,Accessories,5,1188.75,868.44,5943.75,1601.55
2024-09-24,London,Samsung Buds,Accessories,2,986.83,608.19,1973.66,757.28
2024-09-25,Leeds,Samsung Tab S9,Tablets,4,315.32,232.73,1261.28,330.36
2024-09-26,Leeds,Samsung A54,Smartphones,1,1305.04,984.66,1305.04,320.38
2024-09-27,Birmingham,USB-C Cable,Accessories,4,1108.32,851.97,4433.28,1025.4
2024-09-28,Leeds,MacBook Air M1,Laptops,3,876.44,572.77,2629.32,911.01
2024-09-29,Manchester,HP Pavilion,Laptops,2,904.63,703.38,1809.26,402.5
2024-09-30,Leeds,Samsung Tab S9,Tablets,2,1370.3,786.18,2740.6,1168.24
2024-10-01,Newcastle,Lenovo ThinkPad,Laptops,1,214.72,161.16,214.72,53.56
2024-10-02,Leeds,HP Pavilion,Laptops,2,287.85,230.0,575.7,115.7
2024-10-03,London,Samsung A54,Smartphones,5,679.05,461.88,3395.25,1085.85
2024-10-04,Manchester,Samsung Buds,Accessories,1,598.8,502.57,598.8,96.23
2024-10-05,Birmingham,Lenovo Tab M10,Tablets,5,501.28,386.34,2506.4,574.7
2024-10-06,Manchester,Nintendo JoyCon,Gaming,2,128.78,72.04,257.56,113.48
2024-10-07,Birmingham,Xbox Controller,Gaming,4,1246.75,811.4,4987.0,1741.4
2024-10-08,Birmingham,Amazon Fire HD,Tablets,1,393.74,246.38,393.74,147.36
2024-10-09,London,Samsung S22,Smartphones,5,547.96,376.3,2739.8,858.3
2024-10-10,Liverpool,Samsung A54,Smartphones,4,1299.04,903.29,5196.16,1583.0
2024-10-11,Leeds,Gaming Headset,Gaming,2,1480.31,803.87,2960.62,1352.88
2024-10-12,Leeds,Samsung Buds,Accessories,5,967.2,559.67,4836.0,2037.65
2024-10-13,Birmingham,Nintendo JoyCon,Gaming,5,172.9,121.83,864.5,255.35
2024-10-14,Newcastle,HP Pavilion,Laptops,5,730.25,540.45,3651.25,949.0
2024-10-15,Liverpool,MacBook Air M1,Laptops,2,1460.18,1026.56,2920.36,867.24
2024-10-16,Birmingham,HP Pavilion,Laptops,4,206.1,112.62,824.4,373.92
2024-10-17,London,MacBook Pro M2,Laptops,4,1016.68,853.47,4066.72,652.84
2024-10-18,Liverpool,Steam Gift Card,Gaming,2,999.22,841.86,1998.44,314.72
2024-10-19,London,MacBook Pro M2,Laptops,2,934.41,751.37,1868.82,366.08
2024-10-20,Liverpool,Logitech Mouse,Accessories,1,1040.5,766.62,1040.5,273.88
2024-10-21,Manchester,Steam Gift Card,Gaming,1,177.76,129.81,177.76,47.95
2024-10-22,Leeds,iPhone 14,Smartphones,1,1490.14,1137.5,1490.14,352.64
2024-10-23,Newcastle,PS5 Controller,Gaming,3,1320.2,846.84,3960.6,1420.08
2024-10-24,Liverpool,Logitech Mouse,Accessories,2,1148.18,894.7,2296.36,506.96
2024-10-25,London,Nintendo JoyCon,Gaming,1,197.91,136.67,197.91,61.24
2024-10-26,Liverpool,PS5 Controller,Gaming,4,922.55,643.21,3690.2,1117.36
2024-10-27,Liverpool,USB-C Cable,Accessories,1,902.8,623.83,902.8,278.97
2024-10-28,Manchester,Samsung Buds,Accessories,3,913.1,670.1,2739.3,729.0
2024-10-29,Manchester,MacBook Air M1,Laptops,3,822.7,685.32,2468.1,412.14
2024-10-30,Manchester,USB-C Cable,Accessories,5,525.05,332.39,2625.25,963.3
2024-10-31,Newcastle,Gaming Headset,Gaming,4,919.7,706.06,3678.8,854.56
2024-11-01,Liverpool,HP Pavilion,Laptops,3,791.43,623.52,2374.29,503.73
2024-11-02,Birmingham,Gaming Headset,Gaming,1,988.95,626.03,988.95,362.92
2024-11-03,Leeds,Steam Gift Card,Gaming,3,170.1,113.98,510.3,168.36
